year,district,migration_background,benefit_recipients,households_children,average_age,residence_duration
2021,05 Au - Haidhausen,20.5,2.4,14.2,40.1,10.9
2021,06 Sendling,20.8,3.2,12.02,40.8,11.9
2021,07 Sendling - Westpark,25.6,3.5,12.35,42.2,13.0
2021,08 Schwanthalerhöhe,25.1,3.3,12.34,38.1,10.4
2021,09 Neuhausen - Nymphenburg,22.3,2.6,13.56,41.8,12.0
2021,10 Moosach,29.0,4.2,13.43,42.7,14.1
2021,11 Milbertshofen - Am Hart,37.5,5.5,11.77,40.2,13.4
2021,12 Schwabing - Freimann,25.2,3.3,14.58,41.3,12.2
2021,13 Bogenhausen,23.2,2.3,15.94,43.7,13.1
2021,14 Berg am Laim,30.6,5.0,12.53,41.8,13.2
2021,15 Trudering - Riem,26.1,3.3,21.54,41.2,12.9
2021,16 Ramersdorf - Perlach,34.7,5.4,14.03,43.1,14.6
2021,17 Obergiesing - Fasangarten,24.8,3.5,12.43,41.1,12.0
2021,18 Untergiesing - Harlaching,18.6,2.8,13.58,44.0,12.8
2021,19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,23.0,2.9,14.46,44.7,13.5
2021,20 Hadern,25.8,3.3,14.48,45.2,15.0
2021,21 Pasing - Obermenzing,20.8,2.7,17.87,43.3,13.2
2021,22 Aubing - Lochhausen - Langwied,27.4,3.5,18.72,42.2,14.5
2021,23 Allach - Untermenzing,20.6,2.2,20.96,42.8,14.4
2021,24 Feldmoching - Hasenbergl,31.0,4.5,17.02,42.4,15.7
2021,25 Laim,22.7,3.1,10.51,43.5,13.7
2022,01 Altstadt - Lehel,19.7,1.3,11.43,42.1,11.2
2022,02 Ludwigsvorstadt - Isarvorstadt,18.9,2.2,11.68,39.2,10.2
2022,03 Maxvorstadt,19.9,1.7,8.86,38.8,10.1
2022,04 Schwabing - West,21.1,1.7,12.49,41.9,11.8
2022,05 Au - Haidhausen,20.9,2.1,14.11,40.2,10.9
2022,06 Sendling,21.3,2.8,11.97,40.9,12.0
2022,07 Sendling - Westpark,26.1,3.1,12.48,42.2,13.1
2022,08 Schwanthalerhöhe,25.5,2.7,12.32,38.3,10.6
2022,09 Neuhausen - Nymphenburg,23.0,2.4,13.73,41.9,12.1
2022,10 Moosach,29.9,3.8,13.53,42.7,14.2
2022,11 Milbertshofen - Am Hart,38.4,4.9,12.0,40.2,13.4
2022,12 Schwabing - Freimann,25.7,2.9,14.48,41.6,12.5
2022,13 Bogenhausen,24.0,2.0,16.01,43.8,13.3
2022,14 Berg am Laim,31.4,4.5,12.75,41.9,13.4
2022,15 Trudering - Riem,26.7,2.9,21.44,41.4,13.1
2022,16 Ramersdorf - Perlach,35.5,4.8,14.29,43.0,14.7
2022,17 Obergiesing - Fasangarten,25.2,3.1,12.23,41.3,12.1
2022,18 Untergiesing - Harlaching,19.1,2.4,13.49,44.0,12.8
2022,19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,23.7,2.5,14.6,44.7,13.6
2022,20 Hadern,26.8,2.9,14.6,45.0,15.1
2022,21 Pasing - Obermenzing,21.6,2.4,17.96,43.3,13.2
2022,22 Aubing - Lochhausen - Langwied,28.6,3.1,19.18,41.7,14.0
2022,23 Allach - Untermenzing,21.4,2.1,21.45,42.7,14.4
2022,24 Feldmoching - Hasenbergl,31.7,4.2,17.38,42.4,15.7
2022,25 Laim,23.4,2.8,10.72,43.5,13.7
2023,01 Altstadt - Lehel,20.4,1.3,11.28,42.0,11.2
2023,02 Ludwigsvorstadt - Isarvorstadt,19.2,2.0,11.7,39.4,10.4
2023,03 Maxvorstadt,20.5,1.7,8.95,38.8,10.1
2023,04 Schwabing - West,21.7,1.6,12.14,41.9,11.9
2023,05 Au - Haidhausen,21.6,2.1,13.89,40.3,11.0
2023,06 Sendling,22.0,2.9,11.74,41.1,12.2
2023,07 Sendling - Westpark,27.1,3.1,12.37,42.2,13.1
2023,08 Schwanthalerhöhe,26.1,2.7,11.88,38.7,10.9
2023,09 Neuhausen - Nymphenburg,23.8,2.3,13.52,42.0,12.2
2023,10 Moosach,31.1,3.6,13.4,42.6,14.2
2023,11 Milbertshofen - Am Hart,39.6,4.8,12.24,40.2,13.5
2023,12 Schwabing - Freimann,26.6,2.9,14.19,41.6,12.6
2023,13 Bogenhausen,24.9,1.9,15.68,44.0,13.5
2023,14 Berg am Laim,32.6,4.5,12.58,42.0,13.6
2023,15 Trudering - Riem,27.8,3.0,20.67,41.7,13.4
2023,16 Ramersdorf - Perlach,36.7,4.9,14.34,43.0,14.7
2023,17 Obergiesing - Fasangarten,26.1,2.9,11.88,41.4,12.2
2023,18 Untergiesing - Harlaching,19.8,2.4,13.39,44.0,12.8
2023,19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,24.8,2.5,14.63,44.7,13.6
2023,20 Hadern,27.7,2.8,14.38,45.1,15.0
2023,21 Pasing - Obermenzing,22.6,2.5,17.75,43.3,13.3
2023,22 Aubing - Lochhausen - Langwied,30.9,3.3,19.23,41.1,13.7
2023,23 Allach - Untermenzing,22.5,2.1,21.22,42.6,14.4
2023,24 Feldmoching - Hasenbergl,32.8,3.9,17.19,42.4,15.8
2023,25 Laim,24.4,2.9,10.49,43.6,13.8
